          Chi2  &     Mean &Sigma Mean&   Error  & Sigma Error  
Bin Number:.............................     6 
  EH1 A1 0.9527 &  -0.0003 &   0.0035 &   0.0035 &   0.0000 \\ 
  EH1 A2 0.9527 &   0.0003 &   0.0036 &   0.0035 &   0.0000 \\ 
  EH1 A3 0.9527 &   0.0002 &   0.0038 &   0.0035 &   0.0000 \\ 
  EH1 A4 0.9527 &  -0.0000 &   0.0034 &   0.0035 &   0.0000 \\ 
  EH2 A1 1.0743 &   0.0002 &   0.0033 &   0.0032 &   0.0000 \\ 
  EH2 A2 1.0743 &  -0.0007 &   0.0032 &   0.0032 &   0.0000 \\ 
  EH2 A3 1.0743 &   0.0002 &   0.0032 &   0.0032 &   0.0000 \\ 
  EH2 A4 1.0743 &  -0.0005 &   0.0030 &   0.0032 &   0.0000 \\ 
  EH3 A1 0.9044 &  -0.0004 &   0.0035 &   0.0040 &   0.0000 \\ 
  EH3 A2 0.9044 &   0.0005 &   0.0036 &   0.0040 &   0.0000 \\ 
  EH3 A3 0.9044 &  -0.0001 &   0.0038 &   0.0040 &   0.0000 \\ 
  EH3 A4 0.9044 &  -0.0003 &   0.0040 &   0.0040 &   0.0000 \\ 
Bin Number:.............................     7 
  1.9892 &  -0.0002 &   0.0035 &   0.0033 &   0.0000 \\ 
  1.9892 &   0.0001 &   0.0033 &   0.0033 &   0.0000 \\ 
  1.9892 &  -0.0001 &   0.0031 &   0.0033 &   0.0000 \\ 
  1.9892 &   0.0001 &   0.0031 &   0.0033 &   0.0000 \\ 
  1.9060 &   0.0001 &   0.0027 &   0.0030 &   0.0000 \\ 
  1.9060 &  -0.0002 &   0.0028 &   0.0030 &   0.0000 \\ 
  1.9060 &  -0.0002 &   0.0031 &   0.0030 &   0.0000 \\ 
  1.9060 &  -0.0000 &   0.0028 &   0.0030 &   0.0000 \\ 
  2.2161 &   0.0001 &   0.0041 &   0.0040 &   0.0000 \\ 
  2.2161 &  -0.0003 &   0.0034 &   0.0040 &   0.0000 \\ 
  2.2161 &  -0.0011 &   0.0038 &   0.0040 &   0.0000 \\ 
  2.2161 &   0.0001 &   0.0043 &   0.0040 &   0.0000 \\ 
Bin Number:.............................     8 
  3.2743 &  -0.0001 &   0.0032 &   0.0031 &   0.0000 \\ 
  3.2743 &   0.0001 &   0.0031 &   0.0031 &   0.0000 \\ 
  3.2743 &   0.0000 &   0.0033 &   0.0031 &   0.0000 \\ 
  3.2743 &   0.0000 &   0.0033 &   0.0031 &   0.0000 \\ 
  2.8326 &   0.0001 &   0.0026 &   0.0029 &   0.0000 \\ 
  2.8326 &  -0.0001 &   0.0026 &   0.0029 &   0.0000 \\ 
  2.8326 &   0.0002 &   0.0029 &   0.0029 &   0.0000 \\ 
  2.8326 &  -0.0001 &   0.0032 &   0.0029 &   0.0000 \\ 
  3.0277 &   0.0005 &   0.0040 &   0.0040 &   0.0000 \\ 
  3.0277 &   0.0001 &   0.0041 &   0.0040 &   0.0000 \\ 
  3.0277 &  -0.0004 &   0.0036 &   0.0040 &   0.0000 \\ 
  3.0277 &  -0.0003 &   0.0041 &   0.0040 &   0.0000 \\ 
Bin Number:.............................     9 
  4.2937 &   0.0002 &   0.0028 &   0.0030 &   0.0000 \\ 
  4.2937 &   0.0001 &   0.0031 &   0.0030 &   0.0000 \\ 
  4.2937 &  -0.0005 &   0.0028 &   0.0030 &   0.0000 \\ 
  4.2937 &   0.0000 &   0.0030 &   0.0030 &   0.0000 \\ 
  4.3038 &   0.0001 &   0.0024 &   0.0028 &   0.0000 \\ 
  4.3038 &   0.0005 &   0.0028 &   0.0028 &   0.0000 \\ 
  4.3038 &   0.0003 &   0.0028 &   0.0028 &   0.0000 \\ 
  4.3038 &  -0.0002 &   0.0026 &   0.0028 &   0.0000 \\ 
  3.8015 &   0.0001 &   0.0033 &   0.0040 &   0.0000 \\ 
  3.8015 &   0.0002 &   0.0043 &   0.0040 &   0.0000 \\ 
  3.8015 &   0.0000 &   0.0037 &   0.0040 &   0.0000 \\ 
  3.8015 &  -0.0005 &   0.0039 &   0.0040 &   0.0000 \\ 
Bin Number:.............................    10 
  5.3640 &   0.0001 &   0.0026 &   0.0029 &   0.0000 \\ 
  5.3640 &  -0.0003 &   0.0029 &   0.0029 &   0.0000 \\ 
  5.3640 &  -0.0000 &   0.0029 &   0.0029 &   0.0000 \\ 
  5.3640 &  -0.0004 &   0.0029 &   0.0029 &   0.0000 \\ 
  5.1382 &   0.0001 &   0.0031 &   0.0027 &   0.0000 \\ 
  5.1382 &  -0.0005 &   0.0027 &   0.0027 &   0.0000 \\ 
  5.1382 &   0.0000 &   0.0030 &   0.0027 &   0.0000 \\ 
  5.1382 &  -0.0001 &   0.0026 &   0.0027 &   0.0000 \\ 
  5.2277 &   0.0001 &   0.0040 &   0.0040 &   0.0000 \\ 
