StreamChain add 0xfbca7e0
Start to process run: 26500 ... 
[Run]:26500 [Site]:1 [Bin]:5105 [FullTime]:1943.66 [SkipTime]:579.739 [Veto1]:324.457 [Veto2]:321.105 [Veto3]:221.983 [Veto4]:221.983 [SgUp1]:95814 [SgUp2]:94080 [SgUp3]:0 [SgUp4]:0 [SgLow1]:95592 [SgLow2]:93871 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:327228 [NetMuon2]:327848 [NetMuon3]:347928 [NetMuon4]:347928
[Run]:26500 [Site]:1 [Bin]:5106 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:623.86 [Veto2]:628.727 [Veto3]:410.167 [Veto4]:410.167 [SgUp1]:175619 [SgUp2]:173110 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175228 [SgLow2]:172718 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:599548 [NetMuon2]:598944 [NetMuon3]:642830 [NetMuon4]:642830
[Run]:26500 [Site]:1 [Bin]:5107 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:605.664 [Veto2]:662.633 [Veto3]:409.918 [Veto4]:409.918 [SgUp1]:175846 [SgUp2]:170804 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175479 [SgLow2]:170468 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:602508 [NetMuon2]:590804 [NetMuon3]:642206 [NetMuon4]:642206
[Run]:26500 [Site]:1 [Bin]:5108 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:615.519 [Veto2]:652.291 [Veto3]:409.255 [Veto4]:409.255 [SgUp1]:175495 [SgUp2]:171544 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175136 [SgLow2]:171220 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:600198 [NetMuon2]:593206 [NetMuon3]:641695 [NetMuon4]:641695
[Run]:26500 [Site]:1 [Bin]:5109 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:621.455 [Veto2]:633.886 [Veto3]:409.417 [Veto4]:409.417 [SgUp1]:175617 [SgUp2]:172624 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175214 [SgLow2]:172287 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:599182 [NetMuon2]:596650 [NetMuon3]:641471 [NetMuon4]:641471
[Run]:26500 [Site]:1 [Bin]:5110 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:617.299 [Veto2]:626.641 [Veto3]:410.532 [Veto4]:410.532 [SgUp1]:176067 [SgUp2]:172971 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175665 [SgLow2]:172623 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:601648 [NetMuon2]:599415 [NetMuon3]:643310 [NetMuon4]:643310
[Run]:26500 [Site]:1 [Bin]:5111 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:624.257 [Veto2]:647.568 [Veto3]:409.799 [Veto4]:409.799 [SgUp1]:174983 [SgUp2]:172103 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174648 [SgLow2]:171730 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:598911 [NetMuon2]:594085 [NetMuon3]:642205 [NetMuon4]:642205
[Run]:26500 [Site]:1 [Bin]:5112 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:625.396 [Veto2]:644.249 [Veto3]:408.452 [Veto4]:408.452 [SgUp1]:174646 [SgUp2]:171752 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174286 [SgLow2]:171380 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:596876 [NetMuon2]:593201 [NetMuon3]:640265 [NetMuon4]:640265
[Run]:26500 [Site]:1 [Bin]:5113 [FullTime]:3590.18 [SkipTime]:0 [Veto1]:641.26 [Veto2]:642.219 [Veto3]:410.048 [Veto4]:410.048 [SgUp1]:173982 [SgUp2]:171753 [SgUp3]:0 [SgUp4]:0 [SgLow1]:173601 [SgLow2]:171389 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:595747 [NetMuon2]:595790 [NetMuon3]:642628 [NetMuon4]:642628
[Run]:26500 [Site]:1 [Bin]:5114 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:622.143 [Veto2]:628.453 [Veto3]:409.853 [Veto4]:409.853 [SgUp1]:174879 [SgUp2]:172603 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174509 [SgLow2]:172199 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:599179 [NetMuon2]:597845 [NetMuon3]:642191 [NetMuon4]:642191
[Run]:26500 [Site]:1 [Bin]:5115 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:609.197 [Veto2]:635.416 [Veto3]:409.728 [Veto4]:409.728 [SgUp1]:175700 [SgUp2]:172616 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175287 [SgLow2]:172229 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:601896 [NetMuon2]:597048 [NetMuon3]:642085 [NetMuon4]:642085
[Run]:26500 [Site]:1 [Bin]:5116 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:630.988 [Veto2]:647.024 [Veto3]:410.678 [Veto4]:410.678 [SgUp1]:174137 [SgUp2]:172497 [SgUp3]:0 [SgUp4]:0 [SgLow1]:173703 [SgLow2]:172106 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:598950 [NetMuon2]:595332 [NetMuon3]:643357 [NetMuon4]:643357
[Run]:26500 [Site]:1 [Bin]:5117 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:608.159 [Veto2]:637.734 [Veto3]:409.294 [Veto4]:409.294 [SgUp1]:174984 [SgUp2]:172619 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174589 [SgLow2]:172187 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:601824 [NetMuon2]:595495 [NetMuon3]:641646 [NetMuon4]:641646
[Run]:26500 [Site]:1 [Bin]:5118 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:622.894 [Veto2]:639.078 [Veto3]:409.077 [Veto4]:409.077 [SgUp1]:173910 [SgUp2]:172415 [SgUp3]:0 [SgUp4]:0 [SgLow1]:173526 [SgLow2]:172112 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:597796 [NetMuon2]:594333 [NetMuon3]:640888 [NetMuon4]:640888
[Run]:26500 [Site]:1 [Bin]:5119 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:615.561 [Veto2]:651.752 [Veto3]:409.472 [Veto4]:409.472 [SgUp1]:174833 [SgUp2]:171356 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174455 [SgLow2]:170958 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:600232 [NetMuon2]:592407 [NetMuon3]:641540 [NetMuon4]:641540
[Run]:26500 [Site]:1 [Bin]:5120 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:612.882 [Veto2]:636.982 [Veto3]:408.881 [Veto4]:408.881 [SgUp1]:174684 [SgUp2]:173062 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174372 [SgLow2]:172674 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:600126 [NetMuon2]:595027 [NetMuon3]:640952 [NetMuon4]:640952
[Run]:26500 [Site]:1 [Bin]:5121 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:595.672 [Veto2]:624.74 [Veto3]:409.984 [Veto4]:409.984 [SgUp1]:176679 [SgUp2]:173401 [SgUp3]:0 [SgUp4]:0 [SgLow1]:176280 [SgLow2]:173023 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:605080 [NetMuon2]:599293 [NetMuon3]:642701 [NetMuon4]:642701
[Run]:26500 [Site]:1 [Bin]:5122 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:632.072 [Veto2]:633.923 [Veto3]:409.569 [Veto4]:409.569 [SgUp1]:173804 [SgUp2]:172786 [SgUp3]:0 [SgUp4]:0 [SgLow1]:173447 [SgLow2]:172393 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:597040 [NetMuon2]:596802 [NetMuon3]:641910 [NetMuon4]:641910
[Run]:26500 [Site]:1 [Bin]:5124 [FullTime]:3007.53 [SkipTime]:0 [Veto1]:504.064 [Veto2]:524.354 [Veto3]:342.96 [Veto4]:342.96 [SgUp1]:147160 [SgUp2]:144736 [SgUp3]:0 [SgUp4]:0 [SgLow1]:146813 [SgLow2]:144440 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:505366 [NetMuon2]:501505 [NetMuon3]:537641 [NetMuon4]:537641
[Run]:26500 [Site]:1 [Bin]:5125 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:613.157 [Veto2]:638.701 [Veto3]:409.234 [Veto4]:409.234 [SgUp1]:174617 [SgUp2]:173224 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174226 [SgLow2]:172832 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:600307 [NetMuon2]:594997 [NetMuon3]:641339 [NetMuon4]:641339
