StreamChain add 0x5d797e0
Start to process run: 36904 ... 
[Run]:36904 [Site]:1 [Bin]:9316 [FullTime]:1670.41 [SkipTime]:595.784 [Veto1]:300.025 [Veto2]:280.508 [Veto3]:189.055 [Veto4]:189.055 [SgUp1]:80993 [SgUp2]:81001 [SgUp3]:0 [SgUp4]:0 [SgLow1]:80814 [SgLow2]:80818 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:274445 [NetMuon2]:278467 [NetMuon3]:296634 [NetMuon4]:296634
[Run]:36904 [Site]:1 [Bin]:9317 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:617.954 [Veto2]:644.837 [Veto3]:404.849 [Veto4]:404.849 [SgUp1]:174958 [SgUp2]:170747 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174507 [SgLow2]:170355 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:592740 [NetMuon2]:587013 [NetMuon3]:635013 [NetMuon4]:635013
[Run]:36904 [Site]:1 [Bin]:9318 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:640.545 [Veto2]:626.006 [Veto3]:405.228 [Veto4]:405.228 [SgUp1]:173917 [SgUp2]:172325 [SgUp3]:0 [SgUp4]:0 [SgLow1]:173535 [SgLow2]:171930 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:588240 [NetMuon2]:591357 [NetMuon3]:635582 [NetMuon4]:635582
[Run]:36904 [Site]:1 [Bin]:9319 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:600.726 [Veto2]:648.345 [Veto3]:405.072 [Veto4]:405.072 [SgUp1]:175727 [SgUp2]:170900 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175334 [SgLow2]:170551 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:596487 [NetMuon2]:586637 [NetMuon3]:635245 [NetMuon4]:635245
[Run]:36904 [Site]:1 [Bin]:9320 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:621.145 [Veto2]:610.749 [Veto3]:404.413 [Veto4]:404.413 [SgUp1]:175987 [SgUp2]:173539 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175597 [SgLow2]:173110 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:591276 [NetMuon2]:593512 [NetMuon3]:634493 [NetMuon4]:634493
[Run]:36904 [Site]:1 [Bin]:9321 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:623.759 [Veto2]:635.357 [Veto3]:403.601 [Veto4]:403.601 [SgUp1]:175730 [SgUp2]:171645 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175328 [SgLow2]:171253 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:589478 [NetMuon2]:587206 [NetMuon3]:633137 [NetMuon4]:633137
[Run]:36904 [Site]:1 [Bin]:9322 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:616.832 [Veto2]:627.871 [Veto3]:404.681 [Veto4]:404.681 [SgUp1]:175425 [SgUp2]:172463 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175017 [SgLow2]:172023 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:592378 [NetMuon2]:590148 [NetMuon3]:634737 [NetMuon4]:634737
[Run]:36904 [Site]:1 [Bin]:9323 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:606.747 [Veto2]:639.519 [Veto3]:405.178 [Veto4]:405.178 [SgUp1]:176382 [SgUp2]:172099 [SgUp3]:0 [SgUp4]:0 [SgLow1]:176005 [SgLow2]:171736 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:594885 [NetMuon2]:588721 [NetMuon3]:635497 [NetMuon4]:635497
[Run]:36904 [Site]:1 [Bin]:9324 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:612.046 [Veto2]:642.561 [Veto3]:405.019 [Veto4]:405.019 [SgUp1]:175070 [SgUp2]:171745 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174679 [SgLow2]:171371 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:593861 [NetMuon2]:588565 [NetMuon3]:635608 [NetMuon4]:635608
[Run]:36904 [Site]:1 [Bin]:9325 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:616.047 [Veto2]:640.041 [Veto3]:403.789 [Veto4]:403.789 [SgUp1]:175174 [SgUp2]:172305 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174786 [SgLow2]:171982 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:591206 [NetMuon2]:585968 [NetMuon3]:633244 [NetMuon4]:633244
[Run]:36904 [Site]:1 [Bin]:9326 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:602.838 [Veto2]:642.101 [Veto3]:404.921 [Veto4]:404.921 [SgUp1]:176359 [SgUp2]:171483 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175975 [SgLow2]:171094 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:595475 [NetMuon2]:587402 [NetMuon3]:635018 [NetMuon4]:635018
[Run]:36904 [Site]:1 [Bin]:9327 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:627.2 [Veto2]:640.314 [Veto3]:405.351 [Veto4]:405.351 [SgUp1]:174243 [SgUp2]:171675 [SgUp3]:0 [SgUp4]:0 [SgLow1]:173888 [SgLow2]:171299 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:591844 [NetMuon2]:589204 [NetMuon3]:636137 [NetMuon4]:636137
[Run]:36904 [Site]:1 [Bin]:9328 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:613.951 [Veto2]:619.387 [Veto3]:405.343 [Veto4]:405.343 [SgUp1]:175487 [SgUp2]:172200 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175118 [SgLow2]:171815 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:594311 [NetMuon2]:592962 [NetMuon3]:635685 [NetMuon4]:635685
[Run]:36904 [Site]:1 [Bin]:9329 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:609.619 [Veto2]:630.386 [Veto3]:405.125 [Veto4]:405.125 [SgUp1]:176518 [SgUp2]:171825 [SgUp3]:0 [SgUp4]:0 [SgLow1]:176147 [SgLow2]:171437 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:594494 [NetMuon2]:590209 [NetMuon3]:635244 [NetMuon4]:635244
[Run]:36904 [Site]:1 [Bin]:9330 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:620.268 [Veto2]:618.284 [Veto3]:404.661 [Veto4]:404.661 [SgUp1]:175381 [SgUp2]:173852 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175046 [SgLow2]:173480 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:591744 [NetMuon2]:592252 [NetMuon3]:634741 [NetMuon4]:634741
[Run]:36904 [Site]:1 [Bin]:9331 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:608.577 [Veto2]:604.149 [Veto3]:404.636 [Veto4]:404.636 [SgUp1]:175698 [SgUp2]:173353 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175376 [SgLow2]:173003 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:594248 [NetMuon2]:595064 [NetMuon3]:634849 [NetMuon4]:634849
[Run]:36904 [Site]:1 [Bin]:9332 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:614.378 [Veto2]:642.617 [Veto3]:404.64 [Veto4]:404.64 [SgUp1]:176003 [SgUp2]:171772 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175560 [SgLow2]:171464 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:593171 [NetMuon2]:586959 [NetMuon3]:634576 [NetMuon4]:634576
[Run]:36904 [Site]:1 [Bin]:9333 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:616.842 [Veto2]:643.979 [Veto3]:404.993 [Veto4]:404.993 [SgUp1]:175074 [SgUp2]:170994 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174678 [SgLow2]:170617 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:592678 [NetMuon2]:587717 [NetMuon3]:635482 [NetMuon4]:635482
[Run]:36904 [Site]:1 [Bin]:9334 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:614.479 [Veto2]:647.231 [Veto3]:404.367 [Veto4]:404.367 [SgUp1]:175916 [SgUp2]:171718 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175519 [SgLow2]:171330 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:592389 [NetMuon2]:586123 [NetMuon3]:634325 [NetMuon4]:634325
[Run]:36904 [Site]:1 [Bin]:9335 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:635.307 [Veto2]:645.252 [Veto3]:405.213 [Veto4]:405.213 [SgUp1]:173780 [SgUp2]:171434 [SgUp3]:0 [SgUp4]:0 [SgLow1]:173413 [SgLow2]:171050 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:589896 [NetMuon2]:587243 [NetMuon3]:635555 [NetMuon4]:635555
[Run]:36904 [Site]:1 [Bin]:9336 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:628.721 [Veto2]:625.471 [Veto3]:404.539 [Veto4]:404.539 [SgUp1]:175280 [SgUp2]:172963 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174913 [SgLow2]:172568 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:590175 [NetMuon2]:591028 [NetMuon3]:634663 [NetMuon4]:634663
[Run]:36904 [Site]:1 [Bin]:9337 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:602.183 [Veto2]:623.045 [Veto3]:404.432 [Veto4]:404.432 [SgUp1]:176047 [SgUp2]:172735 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175661 [SgLow2]:172343 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:594934 [NetMuon2]:591075 [NetMuon3]:634269 [NetMuon4]:634269
[Run]:36904 [Site]:1 [Bin]:9338 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:599.739 [Veto2]:645.899 [Veto3]:404.287 [Veto4]:404.287 [SgUp1]:176640 [SgUp2]:171407 [SgUp3]:0 [SgUp4]:0 [SgLow1]:176290 [SgLow2]:171037 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:595378 [NetMuon2]:586007 [NetMuon3]:634435 [NetMuon4]:634435
[Run]:36904 [Site]:1 [Bin]:9339 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:613.46 [Veto2]:608.446 [Veto3]:404.918 [Veto4]:404.918 [SgUp1]:176410 [SgUp2]:173489 [SgUp3]:0 [SgUp4]:0 [SgLow1]:176050 [SgLow2]:173140 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:593540 [NetMuon2]:595097 [NetMuon3]:635204 [NetMuon4]:635204
[Run]:36904 [Site]:1 [Bin]:9340 [FullTime]:3590.18 [SkipTime]:0 [Veto1]:603.331 [Veto2]:615.357 [Veto3]:405.069 [Veto4]:405.069 [SgUp1]:176055 [SgUp2]:173923 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175744 [SgLow2]:173488 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:596059 [NetMuon2]:593058 [NetMuon3]:635441 [NetMuon4]:635441
[Run]:36904 [Site]:1 [Bin]:9341 [FullTime]:3590.16 [SkipTime]:0 [Veto1]:616.38 [Veto2]:660.684 [Veto3]:404.565 [Veto4]:404.565 [SgUp1]:176772 [SgUp2]:170715 [SgUp3]:0 [SgUp4]:0 [SgLow1]:176418 [SgLow2]:170326 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:592603 [NetMuon2]:583411 [NetMuon3]:634440 [NetMuon4]:634440
[Run]:36904 [Site]:1 [Bin]:9342 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:618.783 [Veto2]:606.354 [Veto3]:405.158 [Veto4]:405.158 [SgUp1]:175314 [SgUp2]:174089 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174915 [SgLow2]:173639 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:593049 [NetMuon2]:595611 [NetMuon3]:635683 [NetMuon4]:635683
[Run]:36904 [Site]:1 [Bin]:9343 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:600.91 [Veto2]:634.549 [Veto3]:404.235 [Veto4]:404.235 [SgUp1]:176697 [SgUp2]:171981 [SgUp3]:0 [SgUp4]:0 [SgLow1]:176338 [SgLow2]:171623 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:594520 [NetMuon2]:588380 [NetMuon3]:634047 [NetMuon4]:634047
[Run]:36904 [Site]:1 [Bin]:9344 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:619.262 [Veto2]:625.236 [Veto3]:404.256 [Veto4]:404.256 [SgUp1]:175102 [SgUp2]:172234 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174728 [SgLow2]:171847 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:591660 [NetMuon2]:590060 [NetMuon3]:634355 [NetMuon4]:634355
[Run]:36904 [Site]:1 [Bin]:9345 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:622.083 [Veto2]:604.815 [Veto3]:404.848 [Veto4]:404.848 [SgUp1]:175088 [SgUp2]:173751 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174678 [SgLow2]:173394 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:591594 [NetMuon2]:595261 [NetMuon3]:635043 [NetMuon4]:635043
