StreamChain add 0x1baeb7e0
Start to process run: 37058 ... 
[Run]:37058 [Site]:1 [Bin]:9533 [FullTime]:2959.89 [SkipTime]:600.381 [Veto1]:487.54 [Veto2]:513.989 [Veto3]:333.132 [Veto4]:333.132 [SgUp1]:146358 [SgUp2]:142709 [SgUp3]:0 [SgUp4]:0 [SgLow1]:146083 [SgLow2]:142424 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:491825 [NetMuon2]:486589 [NetMuon3]:522514 [NetMuon4]:522514
[Run]:37058 [Site]:1 [Bin]:9534 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:599.235 [Veto2]:611.527 [Veto3]:404.319 [Veto4]:404.319 [SgUp1]:176892 [SgUp2]:173464 [SgUp3]:0 [SgUp4]:0 [SgLow1]:176496 [SgLow2]:173076 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:595334 [NetMuon2]:592943 [NetMuon3]:634266 [NetMuon4]:634266
[Run]:37058 [Site]:1 [Bin]:9535 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:616.444 [Veto2]:606.086 [Veto3]:403.63 [Veto4]:403.63 [SgUp1]:175526 [SgUp2]:173278 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175138 [SgLow2]:172932 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:590749 [NetMuon2]:593564 [NetMuon3]:633274 [NetMuon4]:633274
[Run]:37058 [Site]:1 [Bin]:9536 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:605.127 [Veto2]:630.176 [Veto3]:404.703 [Veto4]:404.703 [SgUp1]:176367 [SgUp2]:172742 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175992 [SgLow2]:172388 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:594785 [NetMuon2]:590468 [NetMuon3]:635070 [NetMuon4]:635070
[Run]:37058 [Site]:1 [Bin]:9537 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:612.963 [Veto2]:632.631 [Veto3]:404.099 [Veto4]:404.099 [SgUp1]:175978 [SgUp2]:173155 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175600 [SgLow2]:172802 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:592277 [NetMuon2]:588477 [NetMuon3]:633991 [NetMuon4]:633991
[Run]:37058 [Site]:1 [Bin]:9538 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:620.82 [Veto2]:636.715 [Veto3]:403.79 [Veto4]:403.79 [SgUp1]:175510 [SgUp2]:172250 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175117 [SgLow2]:171882 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:590272 [NetMuon2]:586848 [NetMuon3]:633364 [NetMuon4]:633364
[Run]:37058 [Site]:1 [Bin]:9539 [FullTime]:3590.18 [SkipTime]:0 [Veto1]:624.434 [Veto2]:628.689 [Veto3]:403.844 [Veto4]:403.844 [SgUp1]:174896 [SgUp2]:173438 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174535 [SgLow2]:173071 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:589837 [NetMuon2]:589143 [NetMuon3]:633720 [NetMuon4]:633720
[Run]:37058 [Site]:1 [Bin]:9540 [FullTime]:3590.16 [SkipTime]:0 [Veto1]:596.305 [Veto2]:607.561 [Veto3]:404.046 [Veto4]:404.046 [SgUp1]:177221 [SgUp2]:174876 [SgUp3]:0 [SgUp4]:0 [SgLow1]:176806 [SgLow2]:174526 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:595732 [NetMuon2]:593716 [NetMuon3]:634106 [NetMuon4]:634106
[Run]:37058 [Site]:1 [Bin]:9541 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:636.236 [Veto2]:622.938 [Veto3]:403.908 [Veto4]:403.908 [SgUp1]:174752 [SgUp2]:173252 [SgUp3]:0 [SgUp4]:0 [SgLow1]:174398 [SgLow2]:172916 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:587605 [NetMuon2]:590300 [NetMuon3]:633836 [NetMuon4]:633836
[Run]:37058 [Site]:1 [Bin]:9542 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:642.818 [Veto2]:645.007 [Veto3]:404.587 [Veto4]:404.587 [SgUp1]:174192 [SgUp2]:171634 [SgUp3]:0 [SgUp4]:0 [SgLow1]:173805 [SgLow2]:171262 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:587220 [NetMuon2]:586953 [NetMuon3]:634549 [NetMuon4]:634549
[Run]:37058 [Site]:1 [Bin]:9543 [FullTime]:3590.17 [SkipTime]:0 [Veto1]:617.539 [Veto2]:625.979 [Veto3]:402.853 [Veto4]:402.853 [SgUp1]:176342 [SgUp2]:173007 [SgUp3]:0 [SgUp4]:0 [SgLow1]:175930 [SgLow2]:172587 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:589785 [NetMuon2]:588044 [NetMuon3]:632315 [NetMuon4]:632315
