StreamChain add 0x3e2a7f0
Start to process run: 26500 ... 
[Run]:26500 [Site]:1 [Bin]:5089 [FullTime]:939.705 [SkipTime]:579.739 [Veto1]:190.705 [Veto2]:183.304 [Veto3]:140.032 [Veto4]:140.032 [SgUp1]:14899 [SgUp2]:14919 [SgUp3]:0 [SgUp4]:0 [SgLow1]:14879 [SgLow2]:14899 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:150932 [NetMuon2]:152423 [NetMuon3]:161120 [NetMuon4]:161120
[Run]:26500 [Site]:1 [Bin]:5090 [FullTime]:3600 [SkipTime]:0 [Veto1]:732.348 [Veto2]:730.594 [Veto3]:537.998 [Veto4]:537.998 [SgUp1]:57346 [SgUp2]:56644 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57200 [SgLow2]:56504 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:579878 [NetMuon2]:580310 [NetMuon3]:619199 [NetMuon4]:619199
[Run]:26500 [Site]:1 [Bin]:5091 [FullTime]:3600 [SkipTime]:0 [Veto1]:732.773 [Veto2]:785.724 [Veto3]:537.327 [Veto4]:537.327 [SgUp1]:57221 [SgUp2]:55415 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57136 [SgLow2]:55327 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:578856 [NetMuon2]:568500 [NetMuon3]:618514 [NetMuon4]:618514
[Run]:26500 [Site]:1 [Bin]:5092 [FullTime]:3600 [SkipTime]:0 [Veto1]:734.973 [Veto2]:756.559 [Veto3]:535.801 [Veto4]:535.801 [SgUp1]:56931 [SgUp2]:56365 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56838 [SgLow2]:56267 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:576897 [NetMuon2]:572892 [NetMuon3]:617171 [NetMuon4]:617171
[Run]:26500 [Site]:1 [Bin]:5093 [FullTime]:3600 [SkipTime]:0 [Veto1]:735.398 [Veto2]:768.329 [Veto3]:537.314 [Veto4]:537.314 [SgUp1]:56992 [SgUp2]:56027 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56892 [SgLow2]:55938 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:579478 [NetMuon2]:572697 [NetMuon3]:618835 [NetMuon4]:618835
[Run]:26500 [Site]:1 [Bin]:5094 [FullTime]:3600 [SkipTime]:0 [Veto1]:746.432 [Veto2]:753.899 [Veto3]:538.187 [Veto4]:538.187 [SgUp1]:56898 [SgUp2]:56591 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56776 [SgLow2]:56473 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:577625 [NetMuon2]:575785 [NetMuon3]:619513 [NetMuon4]:619513
[Run]:26500 [Site]:1 [Bin]:5095 [FullTime]:3600 [SkipTime]:0 [Veto1]:736.611 [Veto2]:750.698 [Veto3]:536.838 [Veto4]:536.838 [SgUp1]:56866 [SgUp2]:56664 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56773 [SgLow2]:56564 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:577544 [NetMuon2]:574724 [NetMuon3]:617865 [NetMuon4]:617865
[Run]:26500 [Site]:1 [Bin]:5096 [FullTime]:3600.01 [SkipTime]:0 [Veto1]:748.78 [Veto2]:765.476 [Veto3]:535.931 [Veto4]:535.931 [SgUp1]:56683 [SgUp2]:56070 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56567 [SgLow2]:55973 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:574430 [NetMuon2]:570890 [NetMuon3]:617078 [NetMuon4]:617078
[Run]:26500 [Site]:1 [Bin]:5097 [FullTime]:3600 [SkipTime]:0 [Veto1]:746.574 [Veto2]:754.381 [Veto3]:536.539 [Veto4]:536.539 [SgUp1]:57074 [SgUp2]:56351 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56963 [SgLow2]:56256 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:575612 [NetMuon2]:574254 [NetMuon3]:618074 [NetMuon4]:618074
[Run]:26500 [Site]:1 [Bin]:5098 [FullTime]:3600 [SkipTime]:0 [Veto1]:757.454 [Veto2]:759.311 [Veto3]:538.244 [Veto4]:538.244 [SgUp1]:56175 [SgUp2]:56447 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56055 [SgLow2]:56317 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:575220 [NetMuon2]:574423 [NetMuon3]:619482 [NetMuon4]:619482
[Run]:26500 [Site]:1 [Bin]:5099 [FullTime]:3600 [SkipTime]:0 [Veto1]:724.568 [Veto2]:756.5 [Veto3]:536.571 [Veto4]:536.571 [SgUp1]:56607 [SgUp2]:56066 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56506 [SgLow2]:55966 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:579821 [NetMuon2]:573489 [NetMuon3]:617613 [NetMuon4]:617613
[Run]:26500 [Site]:1 [Bin]:5100 [FullTime]:3600 [SkipTime]:0 [Veto1]:739.699 [Veto2]:771.565 [Veto3]:537.263 [Veto4]:537.263 [SgUp1]:56461 [SgUp2]:56446 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56330 [SgLow2]:56340 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:577446 [NetMuon2]:570850 [NetMuon3]:618187 [NetMuon4]:618187
[Run]:26500 [Site]:1 [Bin]:5101 [FullTime]:3600.01 [SkipTime]:0 [Veto1]:743.254 [Veto2]:750.137 [Veto3]:536.988 [Veto4]:536.988 [SgUp1]:56541 [SgUp2]:56603 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56420 [SgLow2]:56474 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:577068 [NetMuon2]:575471 [NetMuon3]:618483 [NetMuon4]:618483
[Run]:26500 [Site]:1 [Bin]:5102 [FullTime]:3600 [SkipTime]:0 [Veto1]:733.498 [Veto2]:759.928 [Veto3]:536.811 [Veto4]:536.811 [SgUp1]:56390 [SgUp2]:56360 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56295 [SgLow2]:56237 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:578469 [NetMuon2]:572793 [NetMuon3]:618174 [NetMuon4]:618174
[Run]:26500 [Site]:1 [Bin]:5103 [FullTime]:3600 [SkipTime]:0 [Veto1]:742.509 [Veto2]:762.023 [Veto3]:536.263 [Veto4]:536.263 [SgUp1]:56255 [SgUp2]:55914 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56141 [SgLow2]:55784 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:576140 [NetMuon2]:571898 [NetMuon3]:617476 [NetMuon4]:617476
[Run]:26500 [Site]:1 [Bin]:5104 [FullTime]:3600 [SkipTime]:0 [Veto1]:736.226 [Veto2]:758.774 [Veto3]:536.893 [Veto4]:536.893 [SgUp1]:56476 [SgUp2]:56709 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56373 [SgLow2]:56577 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:578407 [NetMuon2]:573709 [NetMuon3]:618466 [NetMuon4]:618466
[Run]:26500 [Site]:1 [Bin]:5105 [FullTime]:3600 [SkipTime]:0 [Veto1]:717.313 [Veto2]:754.339 [Veto3]:536.519 [Veto4]:536.519 [SgUp1]:56908 [SgUp2]:56199 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56781 [SgLow2]:56099 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:581694 [NetMuon2]:574052 [NetMuon3]:618151 [NetMuon4]:618151
[Run]:26500 [Site]:1 [Bin]:5106 [FullTime]:3600 [SkipTime]:0 [Veto1]:744.494 [Veto2]:746.445 [Veto3]:536.919 [Veto4]:536.919 [SgUp1]:56087 [SgUp2]:56462 [SgUp3]:0 [SgUp4]:0 [SgLow1]:55986 [SgLow2]:56361 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:576255 [NetMuon2]:576131 [NetMuon3]:618211 [NetMuon4]:618211
[Run]:26500 [Site]:1 [Bin]:5107 [FullTime]:3600 [SkipTime]:0 [Veto1]:741.139 [Veto2]:762.024 [Veto3]:536.862 [Veto4]:536.862 [SgUp1]:56105 [SgUp2]:56470 [SgUp3]:0 [SgUp4]:0 [SgLow1]:55984 [SgLow2]:56350 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:576840 [NetMuon2]:572759 [NetMuon3]:617871 [NetMuon4]:617871
[Run]:26500 [Site]:1 [Bin]:5108 [FullTime]:3017.18 [SkipTime]:582.821 [Veto1]:605.07 [Veto2]:615.065 [Veto3]:450.354 [Veto4]:450.354 [SgUp1]:47563 [SgUp2]:47362 [SgUp3]:0 [SgUp4]:0 [SgLow1]:47490 [SgLow2]:47268 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:487285 [NetMuon2]:485742 [NetMuon3]:518693 [NetMuon4]:518693
[Run]:26500 [Site]:1 [Bin]:5109 [FullTime]:3600 [SkipTime]:0 [Veto1]:730.951 [Veto2]:765.897 [Veto3]:536.238 [Veto4]:536.238 [SgUp1]:56464 [SgUp2]:56400 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56332 [SgLow2]:56303 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:578836 [NetMuon2]:571361 [NetMuon3]:617706 [NetMuon4]:617706
[Run]:26500 [Site]:1 [Bin]:5110 [FullTime]:3600 [SkipTime]:0 [Veto1]:754.453 [Veto2]:756.397 [Veto3]:536.57 [Veto4]:536.57 [SgUp1]:56271 [SgUp2]:56705 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56170 [SgLow2]:56566 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:573945 [NetMuon2]:574117 [NetMuon3]:618199 [NetMuon4]:618199
