StreamChain add 0x19d1e7f0
Start to process run: 34938 ... 
[Run]:34938 [Site]:1 [Bin]:7581 [FullTime]:1931.71 [SkipTime]:339.354 [Veto1]:761.71 [Veto2]:767.261 [Veto3]:683.421 [Veto4]:683.421 [SgUp1]:24086 [SgUp2]:23362 [SgUp3]:0 [SgUp4]:0 [SgLow1]:24030 [SgLow2]:23328 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:236324 [NetMuon2]:235134 [NetMuon3]:252107 [NetMuon4]:252107
[Run]:34938 [Site]:1 [Bin]:7582 [FullTime]:3600 [SkipTime]:0 [Veto1]:765.332 [Veto2]:729.74 [Veto3]:535.227 [Veto4]:535.227 [SgUp1]:57170 [SgUp2]:57260 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57067 [SgLow2]:57160 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:569913 [NetMuon2]:577468 [NetMuon3]:616555 [NetMuon4]:616555
[Run]:34938 [Site]:1 [Bin]:7583 [FullTime]:3600 [SkipTime]:0 [Veto1]:743.922 [Veto2]:759.103 [Veto3]:533.386 [Veto4]:533.386 [SgUp1]:57357 [SgUp2]:56536 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57222 [SgLow2]:56449 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:572344 [NetMuon2]:569452 [NetMuon3]:614755 [NetMuon4]:614755
[Run]:34938 [Site]:1 [Bin]:7584 [FullTime]:3600 [SkipTime]:0 [Veto1]:748.39 [Veto2]:747.894 [Veto3]:534.136 [Veto4]:534.136 [SgUp1]:57710 [SgUp2]:57372 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57611 [SgLow2]:57251 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:572250 [NetMuon2]:572461 [NetMuon3]:615129 [NetMuon4]:615129
[Run]:34938 [Site]:1 [Bin]:7585 [FullTime]:3600 [SkipTime]:0 [Veto1]:753.896 [Veto2]:759.948 [Veto3]:533.514 [Veto4]:533.514 [SgUp1]:57207 [SgUp2]:56789 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57101 [SgLow2]:56689 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:570577 [NetMuon2]:569264 [NetMuon3]:614732 [NetMuon4]:614732
[Run]:34938 [Site]:1 [Bin]:7586 [FullTime]:3600.01 [SkipTime]:0 [Veto1]:742.505 [Veto2]:766.883 [Veto3]:533.302 [Veto4]:533.302 [SgUp1]:57677 [SgUp2]:56844 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57571 [SgLow2]:56713 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:572427 [NetMuon2]:568012 [NetMuon3]:614391 [NetMuon4]:614391
[Run]:34938 [Site]:1 [Bin]:7587 [FullTime]:3600 [SkipTime]:0 [Veto1]:711.998 [Veto2]:752.494 [Veto3]:534.431 [Veto4]:534.431 [SgUp1]:58151 [SgUp2]:57396 [SgUp3]:0 [SgUp4]:0 [SgLow1]:58053 [SgLow2]:57272 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:579628 [NetMuon2]:571792 [NetMuon3]:615767 [NetMuon4]:615767
[Run]:34938 [Site]:1 [Bin]:7588 [FullTime]:3600 [SkipTime]:0 [Veto1]:729.953 [Veto2]:732.08 [Veto3]:533.882 [Veto4]:533.882 [SgUp1]:57713 [SgUp2]:57510 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57570 [SgLow2]:57390 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:576011 [NetMuon2]:575074 [NetMuon3]:615034 [NetMuon4]:615034
[Run]:34938 [Site]:1 [Bin]:7589 [FullTime]:3600 [SkipTime]:0 [Veto1]:748.266 [Veto2]:748.65 [Veto3]:534.132 [Veto4]:534.132 [SgUp1]:57777 [SgUp2]:57252 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57682 [SgLow2]:57147 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:572341 [NetMuon2]:572319 [NetMuon3]:615248 [NetMuon4]:615248
[Run]:34938 [Site]:1 [Bin]:7590 [FullTime]:3600 [SkipTime]:0 [Veto1]:769.085 [Veto2]:738.926 [Veto3]:534.524 [Veto4]:534.524 [SgUp1]:57101 [SgUp2]:57155 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56989 [SgLow2]:57044 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:568559 [NetMuon2]:574719 [NetMuon3]:615846 [NetMuon4]:615846
[Run]:34938 [Site]:1 [Bin]:7591 [FullTime]:3600 [SkipTime]:0 [Veto1]:752.94 [Veto2]:745.152 [Veto3]:533.993 [Veto4]:533.993 [SgUp1]:57300 [SgUp2]:57154 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57174 [SgLow2]:57043 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:571210 [NetMuon2]:572611 [NetMuon3]:615006 [NetMuon4]:615006
