StreamChain add 0xc7fb7f0
Start to process run: 36904 ... 
[Run]:36904 [Site]:1 [Bin]:9289 [FullTime]:2458.83 [SkipTime]:595.784 [Veto1]:522.146 [Veto2]:498.23 [Veto3]:363.535 [Veto4]:363.535 [SgUp1]:38857 [SgUp2]:39070 [SgUp3]:0 [SgUp4]:0 [SgLow1]:38784 [SgLow2]:38993 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:387580 [NetMuon2]:392315 [NetMuon3]:419112 [NetMuon4]:419112
[Run]:36904 [Site]:1 [Bin]:9290 [FullTime]:3600 [SkipTime]:0 [Veto1]:741.484 [Veto2]:757.801 [Veto3]:530.957 [Veto4]:530.957 [SgUp1]:56973 [SgUp2]:55984 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56847 [SgLow2]:55882 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:569956 [NetMuon2]:566340 [NetMuon3]:611924 [NetMuon4]:611924
[Run]:36904 [Site]:1 [Bin]:9291 [FullTime]:3600 [SkipTime]:0 [Veto1]:739.821 [Veto2]:754.928 [Veto3]:531.165 [Veto4]:531.165 [SgUp1]:56671 [SgUp2]:56235 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56536 [SgLow2]:56120 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:570610 [NetMuon2]:567671 [NetMuon3]:612284 [NetMuon4]:612284
[Run]:36904 [Site]:1 [Bin]:9292 [FullTime]:3600 [SkipTime]:0 [Veto1]:720.089 [Veto2]:753.68 [Veto3]:530.818 [Veto4]:530.818 [SgUp1]:57477 [SgUp2]:56844 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57365 [SgLow2]:56716 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:573882 [NetMuon2]:567043 [NetMuon3]:611670 [NetMuon4]:611670
[Run]:36904 [Site]:1 [Bin]:9293 [FullTime]:3600 [SkipTime]:0 [Veto1]:744.417 [Veto2]:745.969 [Veto3]:530.066 [Veto4]:530.066 [SgUp1]:57300 [SgUp2]:56719 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57151 [SgLow2]:56601 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:568414 [NetMuon2]:568169 [NetMuon3]:611226 [NetMuon4]:611226
[Run]:36904 [Site]:1 [Bin]:9294 [FullTime]:3600 [SkipTime]:0 [Veto1]:739.433 [Veto2]:744.587 [Veto3]:529.343 [Veto4]:529.343 [SgUp1]:57142 [SgUp2]:57036 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57029 [SgLow2]:56909 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:568672 [NetMuon2]:567680 [NetMuon3]:610414 [NetMuon4]:610414
[Run]:36904 [Site]:1 [Bin]:9295 [FullTime]:3600 [SkipTime]:0 [Veto1]:735.333 [Veto2]:747.052 [Veto3]:530.996 [Veto4]:530.996 [SgUp1]:57368 [SgUp2]:56574 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57250 [SgLow2]:56456 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:571378 [NetMuon2]:568858 [NetMuon3]:612126 [NetMuon4]:612126
[Run]:36904 [Site]:1 [Bin]:9296 [FullTime]:3600 [SkipTime]:0 [Veto1]:730.628 [Veto2]:758.19 [Veto3]:530.814 [Veto4]:530.814 [SgUp1]:57487 [SgUp2]:56568 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57370 [SgLow2]:56444 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:571536 [NetMuon2]:566798 [NetMuon3]:611857 [NetMuon4]:611857
[Run]:36904 [Site]:1 [Bin]:9297 [FullTime]:3600 [SkipTime]:0 [Veto1]:728.071 [Veto2]:763.479 [Veto3]:530.979 [Veto4]:530.979 [SgUp1]:57341 [SgUp2]:56501 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57246 [SgLow2]:56391 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:572764 [NetMuon2]:565747 [NetMuon3]:612188 [NetMuon4]:612188
[Run]:36904 [Site]:1 [Bin]:9298 [FullTime]:3600 [SkipTime]:0 [Veto1]:728.707 [Veto2]:757.928 [Veto3]:530.091 [Veto4]:530.091 [SgUp1]:57688 [SgUp2]:56881 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57579 [SgLow2]:56790 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:571539 [NetMuon2]:565277 [NetMuon3]:611020 [NetMuon4]:611020
[Run]:36904 [Site]:1 [Bin]:9299 [FullTime]:3600 [SkipTime]:0 [Veto1]:730.332 [Veto2]:744.588 [Veto3]:530.409 [Veto4]:530.409 [SgUp1]:57197 [SgUp2]:56841 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57106 [SgLow2]:56731 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:571334 [NetMuon2]:568697 [NetMuon3]:611331 [NetMuon4]:611331
