StreamChain add 0xcda07f0
Start to process run: 37058 ... 
[Run]:37058 [Site]:1 [Bin]:9505 [FullTime]:2281.33 [SkipTime]:600.381 [Veto1]:449.228 [Veto2]:475.464 [Veto3]:335.571 [Veto4]:335.571 [SgUp1]:36932 [SgUp2]:36225 [SgUp3]:0 [SgUp4]:0 [SgLow1]:36858 [SgLow2]:36166 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:364350 [NetMuon2]:359141 [NetMuon3]:386890 [NetMuon4]:386890
[Run]:37058 [Site]:1 [Bin]:9506 [FullTime]:3600 [SkipTime]:0 [Veto1]:716.05 [Veto2]:728.875 [Veto3]:530.323 [Veto4]:530.323 [SgUp1]:57776 [SgUp2]:56944 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57652 [SgLow2]:56839 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:574020 [NetMuon2]:571545 [NetMuon3]:611154 [NetMuon4]:611154
[Run]:37058 [Site]:1 [Bin]:9507 [FullTime]:3600 [SkipTime]:0 [Veto1]:737.307 [Veto2]:715.981 [Veto3]:529.159 [Veto4]:529.159 [SgUp1]:57360 [SgUp2]:57490 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57234 [SgLow2]:57385 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:568652 [NetMuon2]:573447 [NetMuon3]:610198 [NetMuon4]:610198
[Run]:37058 [Site]:1 [Bin]:9508 [FullTime]:3600 [SkipTime]:0 [Veto1]:723.075 [Veto2]:755.945 [Veto3]:530.265 [Veto4]:530.265 [SgUp1]:57640 [SgUp2]:56974 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57541 [SgLow2]:56883 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:573008 [NetMuon2]:566776 [NetMuon3]:611550 [NetMuon4]:611550
[Run]:37058 [Site]:1 [Bin]:9509 [FullTime]:3600 [SkipTime]:0 [Veto1]:726.96 [Veto2]:749.776 [Veto3]:530.043 [Veto4]:530.043 [SgUp1]:57674 [SgUp2]:57128 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57556 [SgLow2]:57022 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:571815 [NetMuon2]:567682 [NetMuon3]:611322 [NetMuon4]:611322
[Run]:37058 [Site]:1 [Bin]:9510 [FullTime]:3600 [SkipTime]:0 [Veto1]:739.279 [Veto2]:737.125 [Veto3]:529.86 [Veto4]:529.86 [SgUp1]:57317 [SgUp2]:56937 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57200 [SgLow2]:56844 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:569312 [NetMuon2]:569475 [NetMuon3]:610852 [NetMuon4]:610852
[Run]:37058 [Site]:1 [Bin]:9511 [FullTime]:3600 [SkipTime]:0 [Veto1]:741.827 [Veto2]:755.76 [Veto3]:529.329 [Veto4]:529.329 [SgUp1]:57629 [SgUp2]:56958 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57511 [SgLow2]:56828 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:568388 [NetMuon2]:565320 [NetMuon3]:610468 [NetMuon4]:610468
[Run]:37058 [Site]:1 [Bin]:9512 [FullTime]:3600 [SkipTime]:0 [Veto1]:716.394 [Veto2]:736.279 [Veto3]:530.091 [Veto4]:530.091 [SgUp1]:57791 [SgUp2]:57516 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57654 [SgLow2]:57408 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:574014 [NetMuon2]:570357 [NetMuon3]:611256 [NetMuon4]:611256
[Run]:37058 [Site]:1 [Bin]:9513 [FullTime]:3600 [SkipTime]:0 [Veto1]:749.486 [Veto2]:730.695 [Veto3]:529.203 [Veto4]:529.203 [SgUp1]:57057 [SgUp2]:57573 [SgUp3]:0 [SgUp4]:0 [SgLow1]:56966 [SgLow2]:57471 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:566740 [NetMuon2]:570400 [NetMuon3]:610429 [NetMuon4]:610429
[Run]:37058 [Site]:1 [Bin]:9514 [FullTime]:3600 [SkipTime]:0 [Veto1]:766.445 [Veto2]:757.118 [Veto3]:530.819 [Veto4]:530.819 [SgUp1]:57152 [SgUp2]:56674 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57054 [SgLow2]:56584 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:564934 [NetMuon2]:566983 [NetMuon3]:611804 [NetMuon4]:611804
[Run]:37058 [Site]:1 [Bin]:9515 [FullTime]:3600 [SkipTime]:0 [Veto1]:728.149 [Veto2]:745.747 [Veto3]:528.09 [Veto4]:528.09 [SgUp1]:57993 [SgUp2]:57166 [SgUp3]:0 [SgUp4]:0 [SgLow1]:57882 [SgLow2]:57069 [SgLow3]:0 [SgLow4]:0 [NetMuon1]:569290 [NetMuon2]:565961 [NetMuon3]:609125 [NetMuon4]:609125
